"EYÜP BELEDİYESİ RAMİ STADI","26 Aralık 2015 Cumartes","12:30 ","RAMİ - SEKBANLAR SPOR ","U-14 ","11.GRUP ","TUGAY CAN TEKŞEN",NULL,NULL
"EYÜP BELEDİYESİ RAMİ STADI","26 Aralık 2015 Cumartes","14:30 ","Y.S.SELİM - KURUÇEŞME ","1.AL.","11.GRUP ","UMUTCAN BAYRAM","GÖKHAN UYGUL","VOLKAN AYNA"
"EYÜP GÜZELTEPE SAHASI","26 Aralık 2015 Cumartes","10:00 ","GÜZELTEPE - GÖKTÜRK SARAYSPOR ","U-12 ","10.GRUP ","HALİD BEHDİOĞLU",NULL,NULL
"EYÜP GÜZELTEPE SAHASI","26 Aralık 2015 Cumartes","11:00 ","KEMER FK - ALİBEYKÖYSPOR ","U-12 ","10.GRUP ","HALİD BEHDİOĞLU",NULL,NULL
"EYÜP GÜZELTEPE SAHASI","26 Aralık 2015 Cumartes","12:00 ","ÖZALİBEYKÖY - AKŞEMSETTİN ","U-12 ","10.GRUP ","AYŞE TOPÇU",NULL,NULL
"EYÜP GÜZELTEPE SAHASI","26 Aralık 2015 Cumartes","13:00 ","ŞİŞLİ ANADOLU - A.PARSELLER ","U-12 ","10.GRUP ","AYŞE TOPÇU",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","09:00 ","KARADOLAPSPOR - EYÜP ÇIRÇIR İMAR ","U-12 ","10.GRUP ","BURCU ATAŞ",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","10:00 ","SULTANGÜCÜ - SULTANGAZİ İSMETPAŞA ","U-12 ","2.GRUP ","BURCU ATAŞ",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","11:00 ","ZARA EKİNLİ - SULTANGAZİ ","U-12 ","2.GRUP ","BURCU ATAŞ",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","12:00 ","ALBAYRAK - SULTANGAZİ SULTANÇİFTLİĞİ ","U-12 ","2.GRUP ","HAKAN YILMAZ",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","13:00 ","YILDIZTABYA - KASIMPAŞA ","U-12 ","10.GRUP ","HAKAN YILMAZ",NULL,NULL
"EYÜP KARADOLAP SAHASI","26 Aralık 2015 Cumartes","14:00 ","ÖZALİBEYKÖY - YENİ LEVENT KONAKLAR ","U-14 ","17.GRUP ","HAKAN YILMAZ",NULL,NULL
"FATİH MİMARSİNAN STADI","26 Aralık 2015 Cumartes","09:00 ","BALAT YEŞİLOVA - GÜNGÖREN DOĞUŞ ","U-14 ","13.GRUP ","KAANHAN ARGUT",NULL,NULL
"FATİH MİMARSİNAN STADI","26 Aralık 2015 Cumartes","10:45 ","AKSARAY - ÇAYIRGÜCÜ ","1.AL.","7.GRUP ","MEHMET SENCER HAYRAN","AYTEKİN DURAN","KAANHAN ARGUT"
"FATİH MİMARSİNAN STADI","26 Aralık 2015 Cumartes","12:30 ","SİİRT İST.Y.SELİM - 1863 BOĞAZİÇİ ","1.AL.","11.GRUP ","NEŞAT VATANSEVER","İBRAHİM MENNANOĞLU","METE BAYDAK"
"FATİH MİMARSİNAN STADI","26 Aralık 2015 Cumartes","14:30 ","MİMARSİNAN - ŞEHZADEBAŞI ","1.AL.","5.GRUP ","ÖZER BEKTAŞ","İBRAHİM MENNANOĞLU","METE BAYDAK"
"FERİKÖY STADI","26 Aralık 2015 Cumartes","12:30 ","MURADİYE - ALİBEYKÖYSPOR ","U-16 ","30.GRUP ","MUHARREM EGEMEN GÜRSES","EMİR TUNÇ DEMİREL","EMRE ÖZTÜRK"
"FERİKÖY STADI","26 Aralık 2015 Cumartes","14:30 ","ŞİŞLİ ANADOLU - Y.GÜNEŞ ","U-14 ","5.GRUP ","EMİR TUNÇ DEMİREL",NULL,NULL
"FLORYA METİN OKTAY SAHASI","26 Aralık 2015 Cumartes","13:00 ","GALATASARAY A.Ş. - MEDİPOL BAŞAKŞEHİR ","CC.U1","Coca-Cola U1","MURAT ALTINOK","AHMET DELİAHMETOĞLU","ÇAĞRI AKLAR"
"FLORYA METİN OKTAY SAHASI","26 Aralık 2015 Cumartes","15:00 ","GALATASARAY A.Ş. - MEDİPOL BAŞAKŞEHİR ","CC.U1","Coca-Cola U1","OKAN KARAÇALI","AHMET DELİAHMETOĞLU","ÇAĞRI AKLAR"
